Title,Author,ISBN,Bookshelves,Date Read
Wilderness and the American Mind,Roderick Nash,9780300190380,Finished reading,""
Nature's New Deal: The Civilian Conservation Corps and the Roots of the American Environmental Movement,Neil M. Maher,9780195392418,Finished reading,""
All the Little Live Things,Wallace Stegner,9780140154412,Finished reading,""
Upstream Metropolis: An Urban Biography of Omaha and Council Bluffs,Lawrence H. Larsen,9780803280021,Finished reading,""
"Promised Lands: Promotion, Memory, and the Creation of the American West",David M. Wrobel,9780700612048,Finished reading,""
Toms River: A Story of Science and Salvation,Dan Fagin,9780553806533,Finished reading,""
"A Nation of Neighborhoods: Imagining Cities, Communities, and Democracy in Postwar America",Benjamin Looker,9780226290317,Finished reading,""
Carbon Democracy: Political Power in the Age of Oil,Timothy Mitchell,9781781681169,Finished reading,""
Destiny and Power: The American Odyssey of George Herbert Walker Bush,Jon Meacham,9781400067657,Finished reading,""
"The Prize: The Epic Quest for Oil, Money  Power",Daniel Yergin,9781439110126,Finished reading,""
FLIGHT MAPS: ADVENTURES WITH NATURE IN MODERN AMERICA: Adventures With Nature In Modern America,Jenny  Price,9780465024865,Finished reading,""
The Relentless Revolution: A History of Capitalism,Joyce Appleby,9780393339390,Finished reading,""
Children of the Sun: A History of Humanity's Unappeasable Appetite for Energy,Alfred W. Crosby,9780393059359,Finished reading,""
The Green and the Black: America's Energy Revolution and What It Might Mean for You and the World,Gary Sernovitz,9781250080660,Finished reading,""
Seattle and the Roots of Urban Sustainability: Inventing Ecotopia,Jeffrey Craig Sanders,9780822943952,Finished reading,""
The MoveOn Effect: The Unexpected Transformation of American Political Advocacy,David Karpf,9780199898381,Finished reading,""
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,9781400082773,Finished reading,""
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,9780307237705,Finished reading,""
All in the Family: The Realignment of American Democracy Since the 1960s,Robert O. Self,9780809026746,Finished reading,""
"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World 1890-1940",George Chauncey,9780465026210,Finished reading,""
Whistlestop: My Favorite Stories from Presidential Campaign History,John Dickerson,9781455540488,Finished reading,""
Exit Right: The People Who Left the Left and Reshaped the American Century,Daniel Oppenheimer,9781416589716,Finished reading,""
River City Empire: Tom Dennison's Omaha,Orville D. Menard,9780803248335,Finished reading,""
The Gate City: A History of Omaha (Enlarged Edition),Lawrence H. Larsen,9780803279674,Finished reading,""
Native Seattle: Histories from the Crossing-Over Place,Coll Thrush,9780295988122,Finished reading,""
